Name,Date joined,URL,Latitude,Longitude
Comoros,12 November 1975,/wiki/Comoros,12°18′S,43°42′E
Congo,20 September 1960,/wiki/Republic_of_the_Congo,1°26′24″S,15°33′22″E
Costa Rica,2 November 1945,/wiki/Costa_Rica,10°N,84°W
Côte d'Ivoire,20 September 1960,/wiki/Ivory_Coast,8°N,5°W
Croatia,22 May 1992,/wiki/Croatia,45°10′N,15°30′E
Cuba,24 October 1945,/wiki/Cuba,22°N,80°W
Cyprus,20 September 1960,/wiki/Cyprus,35°N,33°E
Czechia,19 January 1993,/wiki/Czech_Republic,49°45′N,15°30′E
Democratic People's Republic of Korea,17 September 1991,/wiki/Democratic_People%27s_Republic_of_Korea,40°N,127°E
Democratic Republic of the Congo,20 September 1960,/wiki/Democratic_Republic_of_the_Congo,3°S,24°E
Denmark,24 October 1945,/wiki/Denmark,56°N,10°E
Djibouti,20 September 1977,/wiki/Djibouti,11°30′N,43°00′E
Dominica,18 December 1978,/wiki/Dominica,15°25′N,61°20′W
Dominican Republic,24 October 1945,/wiki/Dominican_Republic,19°00′N,70°40′W
Ecuador,21 December 1945,/wiki/Ecuador,2°00′S,77°30′W
Egypt,24 October 1945,/wiki/Egypt,26°N,30°E
El Salvador,24 October 1945,/wiki/El_Salvador,13°41′N,89°11′W
Equatorial Guinea,12 November 1968,/wiki/Equatorial_Guinea,1°30′N,10°00′E
Eritrea,28 May 1993,/wiki/Eritrea,15°N,39°E
Estonia,17 September 1991,/wiki/Estonia,59°N,26°E
Eswatini,24 September 1968,/wiki/Eswatini,26°30′S,31°30′E
Ethiopia,13 November 1945,/wiki/Ethiopia,9°00′N,38°42′E
Fiji,13 October 1970,/wiki/Fiji,18°S,179°E
Finland,14 December 1955,/wiki/Finland,64°N,26°E
France,24 October 1945,/wiki/France,47°N,2°E
Gabon,20 September 1960,/wiki/Gabon,1°S,12°E
Gambia,21 September 1965,/wiki/The_Gambia,13°27′00″N,16°34′30″W
Georgia,31 July 1992,/wiki/Georgia_(country),42°00′N,43°30′E
Germany,18 September 1973,/wiki/Germany,51°N,9°E
Ghana,8 March 1957,/wiki/Ghana,8°02′N,1°05′W
Greece,25 October 1945,/wiki/Greece,39°N,22°E
Grenada,17 September 1974,/wiki/Grenada,12°06′N,61°42′W
Guatemala,21 November 1945,/wiki/Guatemala,15°30′N,90°15′W
Guinea,12 December 1958,/wiki/Guinea,11°N,10°W
Guinea Bissau,17 September 1974,/wiki/Guinea-Bissau,12°N,15°W
Guyana,20 September 1966,/wiki/Guyana,5°N,59°W
Haiti,24 October 1945,/wiki/Haiti,19°00′N,72°25′W
Honduras,17 December 1945,/wiki/Honduras,15°00′N,86°30′W
Hungary,14 December 1955,/wiki/Hungary,47°N,20°E
Iceland,19 November 1946,/wiki/Iceland,65°N,18°W
India,30 October 1945,/wiki/India,21°N,78°E
Indonesia,28 September 1950,/wiki/Indonesia,5°S,120°E
Iran,24 October 1945,/wiki/Iran,32°N,53°E
Iraq,21 December 1945,/wiki/Iraq,33°N,44°E
Ireland,14 December 1955,/wiki/Republic_of_Ireland,53°N,8°W
Israel,11 May 1949,/wiki/Israel,31°N,35°E
Italy,14 December 1955,/wiki/Italy,43°N,12°E
Jamaica,18 September 1962,/wiki/Jamaica,18°10′48″N,77°24′00″W
Japan,18 December 1956,/wiki/Japan,36°N,138°E
Jordan,14 December 1955,/wiki/Jordan,31°00′N,36°30′E
Kazakhstan,2 March 1992,/wiki/Kazakhstan,48°N,68°E
Kenya,16 December 1963,/wiki/Kenya,1°N,38°E
Kiribati,14 September 1999,/wiki/Kiribati,1°25′N,173°00′E
Kuwait,14 May 1963,/wiki/Kuwait,29°30′N,47°45′E
Kyrgyzstan,2 March 1992,/wiki/Kyrgyzstan,41°N,75°E
Lao People's Democratic Republic,14 December 1955,/wiki/Laos,18°N,105°E
Latvia,17 September 1991,/wiki/Latvia,57°N,25°E
Lebanon,24 October 1945,/wiki/Lebanon,33°50′N,35°50′E
Lesotho,17 October 1966,/wiki/Lesotho,29°36′S,28°18′E
Liberia,2 November 1945,/wiki/Liberia,6°30′N,9°30′W
Libya,14 December 1955,/wiki/Libya,27°N,17°E
Liechtenstein,18 September 1990,/wiki/Liechtenstein,47°9′N,9°33′E
Lithuania,17 September 1991,/wiki/Lithuania,55°N,24°E
Luxembourg,24 October 1945,/wiki/Luxembourg,49°49′N,6°08′E
Madagascar,20 September 1960,/wiki/Madagascar,20°S,47°E
Malawi,1 December 1964,/wiki/Malawi,13°30′S,34°00′E
Malaysia,17 September 1957,/wiki/Malaysia,2°N,112°E
Maldives,21 September 1965,/wiki/Maldives,4°11′N,73°31′E
Mali,28 September 1960,/wiki/Mali,17°N,4°W
Malta,1 December 1964,/wiki/Malta,35°54′N,14°31′E
Marshall Islands,17 September 1991,/wiki/Marshall_Islands,9°49′N,169°17′E
Mauritania,27 October 1961,/wiki/Mauritania,20°N,12°W
Mauritius,24 April 1968,/wiki/Mauritius,20°12′S,57°30′E
Mexico,7 November 1945,/wiki/Mexico,23°N,102°W
Micronesia,17 September 1991,/wiki/Federated_States_of_Micronesia,6°55′N,158°15′E
Monaco,28 May 1993,/wiki/Monaco,43°43′52″N,07°25′12″E
Mongolia,27 October 1961,/wiki/Mongolia,48°N,106°E
Montenegro,28 June 2006,/wiki/Montenegro,42°30′N,19°18′E
Morocco,12 November 1956,/wiki/Morocco,32°N,6°W
Mozambique,16 September 1975,/wiki/Mozambique,18°15′S,35°00′E
Myanmar,19 April 1948,/wiki/Myanmar,22°N,96°E
Namibia,23 April 1990,/wiki/Namibia,22°S,17°E
Nauru,14 September 1999,/wiki/Nauru,0°31′41″S,166°56′13″E
Nepal,14 December 1955,/wiki/Nepal,28°10′N,84°15′E
Netherlands,10 December 1945,/wiki/Netherlands,52°N,6°E
New Zealand,24 October 1945,/wiki/New_Zealand,42°S,173°E
Nicaragua,24 October 1945,/wiki/Nicaragua,13°N,85°W
Niger,20 September 1960,/wiki/Niger,16°N,08°E
Nigeria,7 October 1960,/wiki/Nigeria,8°N,10°E
North Macedonia,8 April 1993,/wiki/North_Macedonia,42°N,22°E
Norway,27 November 1945,/wiki/Norway,61°N,8°E
Oman,7 October 1971,/wiki/Oman,21°N,57°E
Pakistan,30 September 1947,/wiki/Pakistan,30°N,70°E
Palau,15 December 1994,/wiki/Palau,7°30′N,134°30′E
Panama,13 November 1945,/wiki/Panama,9°N,80°W
Papua New Guinea,10 October 1975,/wiki/Papua_New_Guinea,6°S,147°E
Paraguay,24 October 1945,/wiki/Paraguay,23°S,58°W
Peru,31 October 1945,/wiki/Peru,10°S,76°W
Philippines,24 October 1945,/wiki/Philippines,13°N,122°E
Poland,24 October 1945,/wiki/Poland,52°N,20°E
Portugal,14 December 1955,/wiki/Portugal,39°N,8°W
Qatar,21 September 1971,/wiki/Qatar,25°30′N,51°15′E
Republic of Korea,17 September 1991,/wiki/Republic_of_Korea,36°N,128°E
Republic of Moldova,2 March 1992,/wiki/Moldova,47°N,29°E
Romania,14 December 1955,/wiki/Romania,46°N,25°E
Russian Federation,24 October 1945,/wiki/Russia,66°N,94°E
Rwanda,18 September 1962,/wiki/Rwanda,2°S,30°E
Saint Kitts and Nevis,23 September 1983,/wiki/Saint_Kitts_and_Nevis,17°20′N,62°45′W
Saint Lucia,18 September 1979,/wiki/Saint_Lucia,13°53′00″N,60°58′00″W
Saint Vincent and the Grenadines,16 September 1980,/wiki/Saint_Vincent_and_the_Grenadines,13°15′N,61°12′W
Samoa,15 December 1976,/wiki/Samoa,13°44′42″S,172°13′03″W
San Marino,2 March 1992,/wiki/San_Marino,43°56′N,12°26′E
Sao Tome and Principe,16 September 1975,/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,0°19′N,6°36′E
Saudi Arabia,24 October 1945,/wiki/Saudi_Arabia,24°N,45°E
Senegal,28 September 1960,/wiki/Senegal,14°N,14°W
Serbia,1 November 2000,/wiki/Serbia,44°N,21°E
Seychelles,21 September 1976,/wiki/Seychelles,4°35′S,55°40′E
Sierra Leone,27 September 1961,/wiki/Sierra_Leone,08°30′00″N,12°06′00″W
Singapore,21 September 1965,/wiki/Singapore,1°17′N,103°50′E
Slovakia,19 January 1993,/wiki/Slovakia,48°40′N,19°30′E
Slovenia,22 May 1992,/wiki/Slovenia,46°06′N,14°48′E
Solomon Islands,19 September 1978,/wiki/Solomon_Islands,8°S,159°E
Somalia,20 September 1960,/wiki/Somalia,10°N,49°E
South Africa,7 November 1945,/wiki/South_Africa,30°S,25°E
South Sudan,14 July 2011,/wiki/South_Sudan,8°N,30°E
Spain,14 December 1955,/wiki/Spain,40°N,4°W
Sri Lanka,14 December 1955,/wiki/Sri_Lanka,7°N,81°E
Sudan,12 November 1956,/wiki/Sudan,15°N,032°E
Suriname,4 December 1975,/wiki/Suriname,4°N,56°W
Sweden,19 November 1946,/wiki/Sweden,63°N,16°E
Switzerland,10 September 2002,/wiki/Switzerland,46°50′N,8°20′E
Syrian Arab Republic,24 October 1945,/wiki/Syria,35°N,38°E
Tajikistan,2 March 1992,/wiki/Tajikistan,39°N,71°E
Thailand,16 December 1946,/wiki/Thailand,15°N,101°E
Timor-Leste,27 September 2002,/wiki/Timor-Leste,8°33′S,125°34′E
Togo,20 September 1960,/wiki/Togo,8°N,1°E
Tonga,14 September 1999,/wiki/Tonga,20°S,175°W
Trinidad and Tobago,18 September 1962,/wiki/Trinidad_and_Tobago,10°36′N,61°6′W
Tunisia,12 November 1956,/wiki/Tunisia,34°N,9°E
Türkiye,24 October 1945,/wiki/Turkey,39°55′N,32°51′E
Turkmenistan,2 March 1992,/wiki/Turkmenistan,39°N,60°E
Tuvalu,5 September 2000,/wiki/Tuvalu,8°31′15″S,179°11′55″E
Uganda,25 October 1962,/wiki/Uganda,1°N,32°E
Ukraine,24 October 1945,/wiki/Ukraine,50°27′N,30°31′E
United Arab Emirates,9 December 1971,/wiki/United_Arab_Emirates,24°N,54°E
United Kingdom of Great Britain and Northern Ireland,24 October 1945,/wiki/United_Kingdom,55°N,3°W
United Republic of Tanzania,14 December 1961,/wiki/Tanzania,6°S,35°E
United States of America,24 October 1945,/wiki/United_States,40°N,100°W
Uruguay,18 December 1945,/wiki/Uruguay,33°S,57°W
Uzbekistan,2 March 1992,/wiki/Uzbekistan,42°N,64°E
Vanuatu,15 September 1981,/wiki/Vanuatu,17°S,168°E
Venezuela,15 November 1945,/wiki/Venezuela,7°N,65°W
Vietnam,20 September 1977,/wiki/Vietnam,16°N,108°E
Yemen,30 September 1947,/wiki/Yemen,15°20′54″N,44°12′23″E
Zambia,1 December 1964,/wiki/Zambia,15°S,30°E
Zimbabwe,25 August 1980,/wiki/Zimbabwe,19°S,30°E
