Name,Date of Admission,Latitude,Longitude,URL
Kazakhstan,2 March 1992,48°N,68°E,/wiki/Kazakhstan
Kenya,16 December 1963,1°N,38°E,/wiki/Kenya
Kiribati,14 September 1999,1°25′N,173°00′E,/wiki/Kiribati
Kuwait,14 May 1963,29°30′N,47°45′E,/wiki/Kuwait
Kyrgyzstan,2 March 1992,41°N,75°E,/wiki/Kyrgyzstan
Lao People's Democratic Republic,14 December 1955,18°N,105°E,/wiki/Laos
Latvia,17 September 1991,57°N,25°E,/wiki/Latvia
Lebanon,24 October 1945,33°50′N,35°50′E,/wiki/Lebanon
Lesotho,17 October 1966,29°36′S,28°18′E,/wiki/Lesotho
Liberia,2 November 1945,6°30′N,9°30′W,/wiki/Liberia
Libya,14 December 1955,27°N,17°E,/wiki/Libya
Liechtenstein,18 September 1990,47°9′N,9°33′E,/wiki/Liechtenstein
Lithuania,17 September 1991,55°N,24°E,/wiki/Lithuania
Luxembourg,24 October 1945,49°49′N,6°08′E,/wiki/Luxembourg
Madagascar,20 September 1960,20°S,47°E,/wiki/Madagascar
Malawi,1 December 1964,13°30′S,34°00′E,/wiki/Malawi
Malaysia,17 September 1957,2°N,112°E,/wiki/Malaysia
Maldives,21 September 1965,4°11′N,73°31′E,/wiki/Maldives
Mali,28 September 1960,17°N,4°W,/wiki/Mali
Malta,1 December 1964,35°54′N,14°31′E,/wiki/Malta
Marshall Islands,17 September 1991,9°49′N,169°17′E,/wiki/Marshall_Islands
Mauritania,27 October 1961,20°N,12°W,/wiki/Mauritania
Mauritius,24 April 1968,20°12′S,57°30′E,/wiki/Mauritius
Mexico,7 November 1945,23°N,102°W,/wiki/Mexico
Micronesia (Federated States of),17 September 1991,6°55′N,158°15′E,/wiki/Federated_States_of_Micronesia
Monaco,28 May 1993,43°43′52″N,07°25′12″E,/wiki/Monaco
Mongolia,27 October 1961,48°N,106°E,/wiki/Mongolia
Montenegro,28 June 2006,42°30′N,19°18′E,/wiki/Montenegro
Morocco,12 November 1956,32°N,6°W,/wiki/Morocco
Mozambique,16 September 1975,18°15′S,35°00′E,/wiki/Mozambique
Myanmar,19 April 1948,22°N,96°E,/wiki/Myanmar
Namibia,23 April 1990,22°S,17°E,/wiki/Namibia
Nauru,14 September 1999,0°31′41″S,166°56′13″E,/wiki/Nauru
Nepal,14 December 1955,28°10′N,84°15′E,/wiki/Nepal
Netherlands (Kingdom of the),10 December 1945,52°N,6°E,/wiki/Netherlands
New Zealand,24 October 1945,42°S,173°E,/wiki/New_Zealand
Nicaragua,24 October 1945,13°N,85°W,/wiki/Nicaragua
Niger,20 September 1960,16°N,08°E,/wiki/Niger
Nigeria,7 October 1960,8°N,10°E,/wiki/Nigeria
North Macedonia,8 April 1993,42°N,22°E,/wiki/North_Macedonia
Norway,27 November 1945,61°N,8°E,/wiki/Norway
Oman,7 October 1971,21°N,57°E,/wiki/Oman
Pakistan,30 September 1947,30°N,70°E,/wiki/Pakistan
Palau,15 December 1994,7°30′N,134°30′E,/wiki/Palau
Panama,13 November 1945,9°N,80°W,/wiki/Panama
Papua New Guinea,10 October 1975,6°S,147°E,/wiki/Papua_New_Guinea
Paraguay,24 October 1945,23°S,58°W,/wiki/Paraguay
Peru,31 October 1945,10°S,76°W,/wiki/Peru
Philippines,24 October 1945,13°N,122°E,/wiki/Philippines
Poland,24 October 1945,52°N,20°E,/wiki/Poland
Portugal,14 December 1955,39°N,8°W,/wiki/Portugal
Qatar,21 September 1971,25°30′N,51°15′E,/wiki/Qatar
Republic of Korea,17 September 1991,36°N,128°E,/wiki/Republic_of_Korea
Republic of Moldova,2 March 1992,47°N,29°E,/wiki/Moldova
Romania,14 December 1955,46°N,25°E,/wiki/Romania
Russian Federation,24 October 1945,66°N,94°E,/wiki/Russia
Rwanda,18 September 1962,2°S,30°E,/wiki/Rwanda
Saint Kitts and Nevis,23 September 1983,17°20′N,62°45′W,/wiki/Saint_Kitts_and_Nevis
Saint Lucia,18 September 1979,13°53′00″N,60°58′00″W,/wiki/Saint_Lucia
Saint Vincent and the Grenadines,16 September 1980,13°15′N,61°12′W,/wiki/Saint_Vincent_and_the_Grenadines
Samoa,15 December 1976,13°44′42″S,172°13′03″W,/wiki/Samoa
San Marino,2 March 1992,43°56′N,12°26′E,/wiki/San_Marino
Sao Tome and Principe,16 September 1975,0°19′N,6°36′E,/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Saudi Arabia,24 October 1945,24°N,45°E,/wiki/Saudi_Arabia
Senegal,28 September 1960,14°N,14°W,/wiki/Senegal
Serbia,1 November 2000,44°N,21°E,/wiki/Serbia
Seychelles,21 September 1976,4°35′S,55°40′E,/wiki/Seychelles
Sierra Leone,27 September 1961,08°30′00″N,12°06′00″W,/wiki/Sierra_Leone
Singapore,21 September 1965,1°17′N,103°50′E,/wiki/Singapore
Slovakia,19 January 1993,48°40′N,19°30′E,/wiki/Slovakia
Slovenia,22 May 1992,46°06′N,14°48′E,/wiki/Slovenia
Solomon Islands,19 September 1978,8°S,159°E,/wiki/Solomon_Islands
Somalia,20 September 1960,10°N,49°E,/wiki/Somalia
South Africa,7 November 1945,30°S,25°E,/wiki/South_Africa
South Sudan,14 July 2011,8°N,30°E,/wiki/South_Sudan
Spain,14 December 1955,40°N,4°W,/wiki/Spain
Sri Lanka,14 December 1955,7°N,81°E,/wiki/Sri_Lanka
Sudan,12 November 1956,15°N,032°E,/wiki/Sudan
Suriname,4 December 1975,4°N,56°W,/wiki/Suriname
Sweden,19 November 1946,63°N,16°E,/wiki/Sweden
Switzerland,10 September 2002,46°50′N,8°20′E,/wiki/Switzerland
Syrian Arab Republic,24 October 1945,35°N,38°E,/wiki/Syria
Tajikistan,2 March 1992,39°N,71°E,/wiki/Tajikistan
Thailand,16 December 1946,15°N,101°E,/wiki/Thailand
Timor-Leste,27 September 2002,8°33′S,125°34′E,/wiki/Timor-Leste
Togo,20 September 1960,8°N,1°E,/wiki/Togo
Tonga,14 September 1999,20°S,175°W,/wiki/Tonga
Trinidad and Tobago,18 September 1962,10°36′N,61°6′W,/wiki/Trinidad_and_Tobago
Tunisia,12 November 1956,34°N,9°E,/wiki/Tunisia
Türkiye,24 October 1945,39°55′N,32°51′E,/wiki/Turkey
Turkmenistan,2 March 1992,39°N,60°E,/wiki/Turkmenistan
Tuvalu,5 September 2000,8°31′15″S,179°11′55″E,/wiki/Tuvalu
Uganda,25 October 1962,1°N,32°E,/wiki/Uganda
Ukraine,24 October 1945,50°27′N,30°31′E,/wiki/Ukraine
United Arab Emirates,9 December 1971,24°N,54°E,/wiki/United_Arab_Emirates
United Kingdom of Great Britain and Northern Ireland,24 October 1945,55°N,3°W,/wiki/United_Kingdom
United Republic of Tanzania,14 December 1961,6°S,35°E,/wiki/Tanzania
United States of America,24 October 1945,40°N,100°W,/wiki/United_States
Uruguay,18 December 1945,33°S,57°W,/wiki/Uruguay
Uzbekistan,2 March 1992,42°N,64°E,/wiki/Uzbekistan
Vanuatu,15 September 1981,17°S,168°E,/wiki/Vanuatu
Venezuela (Bolivarian Republic of),15 November 1945,7°N,65°W,/wiki/Venezuela
Vietnam,20 September 1977,16°N,108°E,/wiki/Vietnam
Yemen,30 September 1947,15°20′54″N,44°12′23″E,/wiki/Yemen
Zambia,1 December 1964,15°S,30°E,/wiki/Zambia
Zimbabwe,25 August 1980,19°S,30°E,/wiki/Zimbabwe
